segment,scenario,model,MAE,RMSE,R2,WAPE,MAPE_pos
weekday,baseline_current_features,RandomForest,1.3101856044815656,2.08579780905423,0.35917562142488335,82.6733533810572,71.55721059251086
weekend,baseline_current_features,Ridge,0.9084403013918901,1.4010294177494322,0.24146896937184237,91.21817877696002,52.01733443285945
weekday,cluster_only,RandomForest,1.1896191743916216,1.936854353779632,0.4474284262158086,75.06555258808282,63.15962761574019
weekend,cluster_only,Ridge,0.8620716401683476,1.3686971533441143,0.27607500593707823,86.56221533868364,51.38145445371213
weekday,events_only,RandomForest,1.2970892326260655,2.0677184735120417,0.3702365858008355,81.84696590227864,70.59412463785199
weekend,events_only,RandomForest,0.9633625421315252,1.451866102801411,0.18542331634883769,96.73302302918351,62.111521664682755
weekday,full,RandomForest,1.1690895538594057,1.9215130069523316,0.4561473257728049,73.77012347694519,61.879808518709766
weekend,full,RandomForest,0.8787684110146161,1.3722215592255769,0.27234198078225114,88.23876912622399,55.70806414423829
weekday,neighbor_only,RandomForest,1.2467692401096797,2.0139633507329937,0.40255526597801927,78.67174972740281,67.26232423559517
weekend,neighbor_only,Ridge,0.8786952001789479,1.3793412922855801,0.2647715256189057,88.23141789017009,51.611625236228
