scenario,segment,model,station_id,n,mae,rmse,mean_true,mean_pred
baseline_current_features,weekday,BaselineMean,69,523,3.4310090675589024,5.280566002240408,4.089866156787763,2.1164515333388145
baseline_current_features,weekday,BaselineMean,5,523,3.157614864628,6.044627653607188,3.625239005736138,2.1164515333388145
baseline_current_features,weekday,BaselineMean,58,523,2.900170831231414,4.584637397694175,3.1510516252390057,2.1164515333388145
baseline_current_features,weekday,BaselineMean,34,523,2.8583389834291975,4.590003510221436,3.51434034416826,2.1164515333388145
baseline_current_features,weekday,BaselineMean,9,523,2.7469172799241157,4.172786244550676,3.4493307839388145,2.1164515333388145
baseline_current_features,weekday,BaselineMean,90,523,2.6960802823470673,4.340997287150968,2.8336520076481837,2.1164515333388145
baseline_current_features,weekday,BaselineMean,66,523,2.676984504143762,3.9265655344887582,3.0879541108986617,2.1164515333388145
baseline_current_features,weekday,BaselineMean,33,523,2.6381391453156446,4.311966396047814,3.5181644359464626,2.1164515333388145
baseline_current_features,weekday,BaselineMean,68,523,2.604955882091709,4.302877264560302,2.9923518164435947,2.1164515333388145
baseline_current_features,weekday,BaselineMean,49,523,2.4960223063112292,3.8317811091703606,2.797323135755258,2.1164515333388145
baseline_current_features,weekday,BaselineMean,65,523,2.460873957299895,3.6966672951675763,2.378585086042065,2.1164515333388145
baseline_current_features,weekday,BaselineMean,114,523,2.438427767880176,3.820323100570985,2.254302103250478,2.1164515333388145
baseline_current_features,weekday,BaselineMean,93,523,2.4131048478058323,3.434307061514951,0.8718929254302104,2.1164515333388145
baseline_current_features,weekday,BaselineMean,14,523,2.369014355514145,3.67509119978267,2.8891013384321225,2.1164515333388145
baseline_current_features,weekday,BaselineMean,19,523,2.3273169467191113,3.3701093135056723,2.5258126195028683,2.1164515333388145
baseline_current_features,weekday,BaselineMean,56,523,2.3028279509259897,3.3930291688993868,2.3938814531548758,2.1164515333388145
baseline_current_features,weekday,BaselineMean,32,523,2.265032354495163,3.2836652647550024,2.294455066921606,2.1164515333388145
baseline_current_features,weekday,BaselineMean,8,524,2.247259270230765,3.298970137830815,2.4122137404580153,2.1164515333388145
baseline_current_features,weekday,BaselineMean,20,524,2.221120366924341,2.9157859372536366,1.5916030534351144,2.1164515333388145
baseline_current_features,weekday,BaselineMean,91,523,2.1651076070123962,2.9417784784394554,2.361376673040153,2.1164515333388145
baseline_current_features,weekday,BaselineMean,100,523,2.1572015810102703,3.387144155731101,1.7934990439770555,2.1164515333388145
baseline_current_features,weekday,BaselineMean,1,523,2.1526139284910872,2.9601954921439133,2.4282982791587,2.1164515333388145
baseline_current_features,weekday,BaselineMean,92,523,2.1509424014057617,3.771853636269304,1.6998087954110899,2.1164515333388145
