segment,scenario,model,feature,importance
weekday,baseline_current_features,RandomForest,num__lag_168h_total_count,0.3609246236094619
weekday,baseline_current_features,RandomForest,num__lag_24h_total_count,0.2266822114260032
weekday,baseline_current_features,RandomForest,num__lag_1h_total_count,0.05528762197609396
weekday,baseline_current_features,RandomForest,num__lon,0.04399514123632025
weekday,baseline_current_features,RandomForest,num__hour_cos,0.04387204557543634
weekday,baseline_current_features,RandomForest,num__lat,0.03698557908549084
weekday,baseline_current_features,RandomForest,num__msl,0.03538940108194989
weekday,baseline_current_features,RandomForest,num__station_id,0.03421650284008761
weekday,baseline_current_features,RandomForest,num__rhum,0.027353983510987077
weekday,baseline_current_features,RandomForest,num__temp,0.021240414514565324
weekday,baseline_current_features,RandomForest,num__hour,0.020558353657623533
weekday,baseline_current_features,RandomForest,num__wetb,0.01645508655510577
weekday,baseline_current_features,RandomForest,num__hour_sin,0.015995232245163256
weekday,baseline_current_features,RandomForest,num__day_of_week,0.01575427295669657
weekday,baseline_current_features,RandomForest,num__dewpt,0.013422420904870508
weekday,baseline_current_features,RandomForest,num__vappr,0.012312234924566894
weekday,baseline_current_features,RandomForest,num__month,0.008465057001307038
weekday,baseline_current_features,RandomForest,num__is_peak,0.003795699392373434
weekday,baseline_current_features,RandomForest,num__rain,0.0037036201112640413
weekday,baseline_current_features,RandomForest,num__rain_lag1h,0.0017144996782701995
weekday,baseline_current_features,RandomForest,num__rain_category,0.0008728322120186155
weekday,baseline_current_features,RandomForest,cat__temp_category_10-20,0.0006098469320500878
weekday,baseline_current_features,RandomForest,cat__temp_category_<10,0.00023077825660487058
weekday,baseline_current_features,RandomForest,cat__temp_category_>20,0.00016254031568866393
weekday,baseline_current_features,RandomForest,num__is_weekend,0.0
weekend,baseline_current_features,RandomForest,num__lag_168h_total_count,0.19809659431029855
weekend,baseline_current_features,RandomForest,num__lag_1h_total_count,0.17799507701704656
weekend,baseline_current_features,RandomForest,num__lag_24h_total_count,0.10982783709790074
weekend,baseline_current_features,RandomForest,num__lat,0.0689538117441105
weekend,baseline_current_features,RandomForest,num__lon,0.06485317124561427
weekend,baseline_current_features,RandomForest,num__station_id,0.059217909732914374
weekend,baseline_current_features,RandomForest,num__msl,0.057403804650287694
weekend,baseline_current_features,RandomForest,num__rhum,0.04229234457298307
weekend,baseline_current_features,RandomForest,num__temp,0.038649333176516615
weekend,baseline_current_features,RandomForest,num__hour_cos,0.034206642351195984
weekend,baseline_current_features,RandomForest,num__wetb,0.030307107144580396
weekend,baseline_current_features,RandomForest,num__hour,0.026899627313265402
weekend,baseline_current_features,RandomForest,num__dewpt,0.022463437024634887
weekend,baseline_current_features,RandomForest,num__vappr,0.020123483011145794
weekend,baseline_current_features,RandomForest,num__hour_sin,0.016420715247372836
weekend,baseline_current_features,RandomForest,num__month,0.011893329253294912
weekend,baseline_current_features,RandomForest,num__day_of_week,0.008169241517876149
weekend,baseline_current_features,RandomForest,num__rain,0.0042207775926826055
weekend,baseline_current_features,RandomForest,num__rain_lag1h,0.0025950649821441345
weekend,baseline_current_features,RandomForest,num__is_peak,0.002421869133648034
weekend,baseline_current_features,RandomForest,num__rain_category,0.001331003251687152
weekend,baseline_current_features,RandomForest,cat__temp_category_10-20,0.0010671435062255407
weekend,baseline_current_features,RandomForest,cat__temp_category_>20,0.00033240897092830436
