station_id,neighbor_station_id,rank,distance_km
1,52,1,0.24713157261665417
1,9,2,0.26256052247980805
1,51,3,0.30138165976032144
1,37,4,0.3852613162648182
1,14,5,0.419415949277862
2,102,1,0.2491158783071596
2,79,2,0.3189823475948916
2,12,3,0.3295026352948363
2,15,4,0.4369834432307497
2,30,5,0.46089495065648683
3,77,1,0.36951913337355247
3,101,2,0.41675212753857177
3,102,3,0.41902839614558857
3,116,4,0.4763623551721072
3,40,5,0.47853314006849784
4,101,1,0.38394906418078323
4,7,2,0.4345373412653348
4,6,3,0.5017734343226274
4,29,4,0.5596038441621014
4,73,5,0.588158457972542
5,41,1,0.3407183105745306
5,55,2,0.3787893337314784
5,11,3,0.4440133891731635
5,34,4,0.5544468999968302
5,54,5,0.6714023721200901
6,10,1,0.3750029493484203
6,29,2,0.3799299107795608
6,17,3,0.3894098323411412
6,4,4,0.5017734343226274
6,7,5,0.5499958712662395
7,73,1,0.16603362783757
7,72,2,0.2382407560851552
7,4,3,0.4345373412653348
7,6,4,0.5499958712662395
7,35,5,0.5754638464213291
8,99,1,0.2517093574839489
8,64,2,0.3134909823727155
8,48,3,0.42295961205054566
8,16,4,0.46189366094372225
8,32,5,0.4773169935394888
9,14,1,0.1758882477311588
9,1,2,0.26256052247980805
9,10,3,0.37380648804571615
9,51,4,0.4291358336943537
9,52,5,0.5058093644059084
10,29,1,0.2638044084259097
10,17,2,0.37053615593607736
10,9,3,0.37380648804571615
10,6,4,0.3750029493484203
10,14,5,0.38658234073085374
11,41,1,0.18078223475273192
11,55,2,0.24715116526130979
11,53,3,0.3909365476620753
11,5,4,0.4440133891731635
11,36,5,0.47837153476434047
12,2,1,0.3295026352948363
12,79,2,0.48039185497354464
12,102,3,0.48057412504297004
12,110,4,0.5453005684696018
12,78,5,0.5553577708846741
13,89,1,0.23411973592363727
13,36,2,0.40587315065295637
13,39,3,0.41009825416947787
13,26,4,0.41988660622853985
13,20,5,0.5266729515931798
14,9,1,0.1758882477311588
14,10,2,0.38658234073085374
14,1,3,0.419415949277862
14,29,4,0.5386762182759274
14,40,5,0.5485109223492928
15,30,1,0.21564226286391336
15,61,2,0.21882832897484886
15,79,3,0.3211936669564781
15,59,4,0.33623006683667994
15,2,5,0.4369834432307497
16,23,1,0.2872164627262694
16,22,2,0.32141454480629056
16,38,3,0.39380021773461077
16,32,4,0.4060254226377236
16,8,5,0.46189366094372225
17,71,1,0.33779262122417575
17,10,2,0.37053615593607736
17,51,3,0.3739757534090768
17,6,4,0.3894098323411412
17,9,5,0.523491875395217
18,54,1,0.3446712831902112
18,34,2,0.4184586495807894
18,71,3,0.47548755878619664
18,55,4,0.5242371946590719
18,43,5,0.5328296454252407
19,47,1,0.14592147982426493
19,114,2,0.31936735128052024
19,20,3,0.3700987860626477
19,25,4,0.5660647944937068
19,113,5,0.5735724127832208
20,113,1,0.23069135634646812
20,47,2,0.303663968157129
20,114,3,0.32794293930616675
20,89,4,0.34579906445328307
20,25,5,0.35962358944058986
21,98,1,0.2730159799883523
21,26,2,0.38566813825463775
21,27,3,0.41507950949668565
21,22,4,0.41538687191707063
